PoliceID,PoliceOfficeID,PoliceName,PoliceGender,PolicePhoneNumber,PoliceAddress
1,19,Sax Kemm,Female,155-439-8292,43931 Old Gate Lane
2,19,Louie Meharry,Female,151-768-1837,073 Johnson Court
3,3,Milly Brobeck,Male,103-529-5320,290 Bultman Crossing
4,4,Dermot Allgood,Female,415-135-3379,24 Johnson Place
5,10,Babb Punshon,Male,181-396-6604,32 Kinsman Court
6,2,Evie McGillivrie,Male,516-852-6795,0 Browning Trail
7,17,Dannie Brunnstein,Male,603-727-4960,7905 Sauthoff Plaza
8,20,Horton Renzini,Female,712-576-6812,6739 Golden Leaf Junction
9,9,Celia Lamplough,Male,668-127-6566,2382 Rutledge Street
10,15,Kerk Cleator,Female,460-103-2094,2 Autumn Leaf Parkway
11,4,Mathias Backler,Female,188-123-8780,9 Mendota Court
12,2,Rorke Ellwell,Female,967-955-4339,61 Burning Wood Circle
13,8,Chance Alcock,Female,348-446-8073,861 Hovde Point
14,15,Terry Judson,Female,333-290-8368,6110 Bluestem Point
15,16,Osmond Search,Male,103-139-3330,726 Farmco Junction
16,6,Winna Maddyson,Female,831-593-4562,16 Graceland Circle
17,4,Prescott Depper,Female,739-999-7887,2 Menomonie Park
18,16,Wayne Tissell,Male,449-569-5346,7645 Lawn Terrace
19,20,Lauren Rubertis,Male,450-103-7908,8 Elmside Place
20,4,Huntlee Duffit,Male,825-758-8249,51 Clove Way
21,11,Keslie Fittis,Male,603-646-0501,58 Meadow Valley Terrace
22,12,Arvy Skirling,Female,881-894-3737,81565 Laurel Lane
23,18,Gleda Crummey,Female,335-661-8294,631 Harbort Terrace
24,2,Storm Cambridge,Female,541-355-2655,8 Rockefeller Alley
25,17,Hamish Blackwell,Male,337-298-2782,8144 Dahle Lane
26,20,Tierney Spilsted,Female,696-115-5125,7626 Schmedeman Trail
27,16,Catriona Casali,Male,617-345-7338,3 Blackbird Drive
28,10,Thornton Vanyashin,Male,894-734-0721,08 Packers Road
29,15,Venus Ayliffe,Female,829-531-2149,5573 Vera Road
30,2,Morgen Copp,Male,723-858-3732,1 Lakeland Drive
31,20,Valma Margarson,Male,247-421-5090,864 Basil Park
32,11,Ossie Blackden,Female,166-528-2314,3909 Hoepker Circle
33,14,Karl Jouning,Female,108-178-1645,07 Jenifer Drive
34,4,Jozef Munns,Male,978-862-8808,71 Troy Alley
35,4,Candida Dearlove,Female,159-323-9597,780 Pennsylvania Pass
36,7,Jaquith Elleyne,Female,808-792-8182,8227 Golf View Road
37,9,Aloysia Gilloran,Female,388-272-9433,084 Myrtle Crossing
38,17,Arda Yeates,Male,107-636-1802,584 Westport Point
39,10,Brice Devers,Male,930-653-8961,362 Scoville Pass
40,6,Hildy Seppey,Female,254-560-9415,62101 Bay Circle
41,14,Hillary Kensall,Male,719-351-7990,99630 Clemons Road
42,19,Charmian Scardafield,Female,653-531-1995,77385 Straubel Trail
